candidate_id,score
CAND_0061175,92.75
CAND_0081480,92.75
CAND_0093401,92.72
CAND_0031354,92.72
CAND_0046698,92.72
CAND_0007411,92.68
CAND_0010603,92.63
CAND_0078002,92.62
CAND_0055905,92.58
CAND_0026640,92.48
CAND_0044855,92.45
CAND_0068022,92.44
CAND_0014440,92.42
CAND_0006418,92.41
CAND_0036212,92.18
CAND_0040887,92.17
CAND_0010149,92.16
CAND_0065277,92.15
CAND_0041402,92.13
CAND_0002120,92.09
CAND_0012632,92.05
CAND_0072609,92.02
CAND_0096104,92.02
CAND_0077956,91.94
CAND_0083852,91.94
CAND_0072485,91.87
CAND_0066945,91.72
CAND_0058688,91.7
CAND_0026716,91.66
CAND_0054829,91.66
CAND_0089381,91.64
CAND_0045141,91.64
CAND_0077285,91.6
CAND_0095646,91.6
CAND_0032955,91.6
CAND_0050757,91.6
CAND_0070525,91.57
CAND_0043676,91.57
CAND_0072020,91.56
CAND_0091909,91.52
CAND_0000981,91.5
CAND_0008295,91.46
CAND_0021491,91.44
CAND_0001302,91.37
CAND_0028287,91.36
CAND_0094759,91.32
CAND_0036818,91.31
CAND_0037426,91.29
CAND_0098356,91.25
CAND_0094370,91.19
CAND_0087766,91.18
CAND_0007688,91.11
CAND_0096142,91.07
CAND_0049527,91.0
CAND_0068932,90.91
CAND_0061292,90.85
CAND_0017823,90.85
CAND_0078813,90.82
CAND_0049978,90.82
CAND_0089552,90.81
CAND_0073671,90.78
CAND_0052994,90.74
CAND_0093193,90.69
CAND_0092255,90.69
CAND_0090656,90.69
CAND_0036416,90.69
CAND_0016282,90.68
CAND_0058548,90.59
CAND_0062762,90.58
CAND_0068596,90.57
CAND_0028318,90.53
CAND_0048079,90.53
CAND_0074425,90.52
CAND_0000821,90.52
CAND_0050876,90.51
CAND_0049836,90.43
CAND_0075318,90.4
CAND_0037980,90.37
CAND_0077991,90.37
CAND_0031593,90.34
CAND_0000031,90.33
CAND_0046313,90.3
CAND_0060832,90.22
CAND_0099288,90.18
CAND_0053695,90.17
CAND_0037944,90.14
CAND_0080372,90.04
CAND_0011383,90.01
CAND_0096861,90.0
CAND_0033472,89.97
CAND_0024990,89.96
CAND_0069503,89.96
CAND_0097176,89.93
CAND_0017132,89.92
CAND_0090280,89.9
CAND_0016163,89.89
CAND_0039383,89.85
CAND_0098952,89.85
CAND_0099308,89.84
CAND_0077092,89.82
CAND_0015912,89.81
CAND_0088378,89.77
CAND_0043318,89.75
CAND_0003791,89.62
CAND_0049363,89.57
CAND_0036947,89.57
CAND_0048624,89.54
CAND_0046353,89.52
CAND_0053934,89.49
CAND_0036184,89.46
CAND_0001494,89.43
CAND_0039838,89.39
CAND_0054864,89.38
CAND_0069638,89.38
CAND_0045862,89.36
CAND_0064888,89.36
CAND_0090076,89.33
CAND_0049538,89.33
CAND_0077776,89.33
CAND_0047521,89.31
CAND_0043860,89.28
CAND_0017448,89.25
CAND_0011125,89.2
CAND_0064904,89.19
CAND_0044890,89.19
CAND_0074342,89.17
CAND_0019848,89.07
CAND_0010939,89.02
CAND_0032807,88.88
CAND_0055999,88.87
CAND_0077219,88.86
CAND_0038099,88.78
CAND_0000671,88.76
CAND_0050476,88.75
CAND_0061339,88.71
CAND_0024147,88.7
CAND_0009288,88.53
CAND_0018133,88.49
CAND_0009691,88.49
CAND_0050334,88.47
CAND_0049771,88.45
CAND_0095528,88.4
CAND_0064130,88.36
CAND_0005191,88.32
CAND_0020662,88.31
CAND_0025180,88.3
CAND_0095971,88.27
CAND_0048166,88.27
CAND_0061819,88.26
CAND_0071564,88.25
CAND_0088063,88.23
CAND_0040820,88.21
CAND_0090584,88.2
CAND_0055139,88.19
CAND_0003575,88.17
CAND_0020781,88.16
CAND_0091611,88.12
CAND_0091383,88.12
CAND_0068160,88.09
CAND_0004733,88.09
CAND_0058575,88.05
CAND_0005260,88.01
CAND_0025703,87.97
CAND_0091341,87.96
CAND_0088385,87.94
CAND_0037933,87.91
CAND_0006732,87.9
CAND_0095253,87.9
CAND_0035542,87.84
CAND_0067229,87.82
CAND_0088891,87.82
CAND_0002037,87.81
CAND_0042359,87.81
CAND_0066999,87.81
CAND_0021973,87.79
CAND_0070808,87.78
CAND_0018653,87.78
CAND_0052706,87.77
CAND_0086039,87.77
CAND_0035477,87.75
CAND_0059795,87.68
CAND_0043304,87.65
CAND_0017706,87.62
CAND_0065786,87.59
CAND_0074786,87.53
CAND_0066758,87.51
CAND_0093107,87.49
CAND_0016678,87.42
CAND_0015168,87.4
CAND_0023314,87.38
CAND_0058146,87.35
CAND_0030946,87.33
CAND_0032311,87.33
CAND_0086036,87.3
CAND_0097904,87.28
CAND_0096172,87.27
CAND_0062009,87.27
CAND_0078810,87.27
CAND_0063826,87.23
CAND_0015578,87.23
CAND_0072399,87.2
CAND_0056302,87.19
CAND_0035148,87.17
CAND_0056356,87.17
CAND_0002662,87.16
CAND_0035879,87.15
CAND_0042029,87.1
CAND_0025564,87.1
CAND_0018094,87.09
CAND_0037694,87.08
CAND_0028932,87.05
CAND_0017093,87.04
CAND_0044768,87.03
CAND_0004972,87.0
CAND_0030498,87.0
CAND_0038282,86.98
CAND_0047810,86.97
CAND_0045613,86.97
CAND_0066921,86.96
CAND_0086154,86.96
CAND_0002770,86.95
CAND_0097273,86.95
CAND_0077261,86.91
CAND_0029439,86.9
CAND_0023017,86.89
CAND_0095567,86.88
CAND_0062772,86.87
CAND_0099054,86.81
CAND_0051004,86.8
CAND_0084460,86.72
CAND_0051435,86.7
CAND_0053605,86.67
CAND_0067041,86.67
CAND_0066652,86.66
CAND_0088441,86.66
CAND_0056541,86.64
CAND_0020877,86.61
CAND_0060315,86.59
CAND_0039962,86.58
CAND_0017090,86.57
CAND_0004196,86.51
CAND_0095879,86.47
CAND_0062784,86.46
CAND_0039982,86.45
CAND_0099965,86.4
CAND_0081008,86.39
CAND_0065991,86.37
CAND_0084584,86.36
CAND_0017722,86.36
CAND_0080359,86.33
CAND_0086963,86.32
CAND_0052335,86.32
CAND_0090597,86.3
CAND_0066791,86.26
CAND_0074339,86.25
CAND_0082184,86.24
CAND_0042593,86.23
CAND_0088335,86.18
CAND_0018925,86.15
CAND_0049524,86.13
CAND_0044091,86.11
CAND_0030468,86.11
CAND_0071880,86.11
CAND_0025658,86.09
CAND_0070062,86.08
CAND_0007567,86.07
CAND_0093547,86.07
CAND_0096466,86.05
CAND_0029295,86.02
CAND_0030784,86.01
CAND_0062707,86.0
CAND_0061177,85.98
CAND_0097079,85.98
CAND_0034148,85.95
CAND_0040426,85.92
CAND_0089947,85.88
CAND_0060340,85.87
CAND_0003841,85.86
CAND_0027704,85.83
CAND_0012888,85.83
CAND_0067058,85.83
CAND_0022614,85.8
CAND_0082489,85.8
CAND_0079806,85.8
CAND_0027640,85.79
CAND_0019474,85.79
CAND_0026102,85.78
CAND_0044238,85.76
CAND_0077028,85.75
CAND_0067670,85.75
CAND_0067535,85.71
CAND_0026532,85.68
CAND_0005311,85.68
CAND_0086204,85.6
CAND_0002005,85.57
CAND_0043359,85.56
CAND_0049896,85.54
CAND_0094728,85.53
CAND_0057166,85.51
CAND_0071760,85.51
CAND_0008978,85.49
CAND_0009734,85.49
CAND_0032515,85.46
CAND_0065423,85.45
CAND_0043539,85.44
CAND_0087744,85.44
CAND_0020708,85.43
CAND_0059294,85.42
CAND_0017048,85.4
CAND_0078489,85.39
CAND_0076035,85.39
CAND_0068081,85.37
CAND_0038368,85.34
CAND_0051615,85.34
CAND_0027691,85.32
CAND_0038218,85.29
CAND_0065915,85.28
CAND_0064286,85.26
CAND_0058287,85.26
CAND_0022720,85.26
CAND_0027061,85.24
CAND_0008618,85.24
CAND_0001405,85.22
CAND_0084819,85.22
CAND_0039347,85.19
CAND_0065501,85.18
CAND_0059557,85.18
CAND_0036604,85.16
CAND_0040018,85.15
CAND_0072462,85.14
CAND_0073871,85.13
CAND_0014631,85.1
CAND_0084036,85.1
CAND_0040251,85.1
CAND_0090376,85.08
CAND_0039087,85.07
CAND_0005690,85.06
CAND_0048375,85.06
CAND_0093761,85.0
CAND_0022463,84.95
CAND_0064256,84.95
CAND_0054394,84.95
CAND_0018888,84.93
CAND_0016128,84.91
CAND_0081053,84.9
CAND_0016657,84.89
CAND_0019447,84.88
CAND_0022108,84.87
CAND_0076075,84.86
CAND_0006010,84.86
CAND_0072796,84.82
CAND_0073620,84.8
CAND_0046778,84.79
CAND_0043958,84.79
CAND_0014948,84.77
CAND_0080102,84.76
CAND_0060345,84.75
CAND_0092596,84.74
CAND_0027723,84.71
CAND_0051003,84.7
CAND_0018202,84.68
CAND_0082718,84.65
CAND_0058983,84.64
CAND_0091745,84.63
CAND_0013665,84.61
CAND_0075491,84.61
CAND_0043381,84.57
CAND_0038206,84.55
CAND_0077296,84.55
CAND_0081779,84.54
CAND_0080157,84.52
CAND_0056262,84.51
CAND_0055715,84.51
CAND_0054055,84.48
CAND_0072413,84.47
CAND_0041568,84.45
CAND_0045258,84.43
CAND_0098215,84.41
CAND_0045335,84.4
CAND_0070980,84.39
CAND_0097563,84.38
CAND_0042100,84.37
CAND_0016553,84.34
CAND_0007726,84.34
CAND_0000666,84.33
CAND_0015097,84.31
CAND_0051630,84.31
CAND_0088960,84.29
CAND_0054377,84.29
CAND_0059504,84.27
CAND_0053431,84.21
CAND_0031752,84.21
CAND_0018735,84.2
CAND_0018536,84.14
CAND_0001537,84.11
CAND_0038759,84.11
CAND_0023490,84.08
CAND_0001267,84.06
CAND_0067453,84.06
CAND_0069635,84.05
CAND_0063585,84.05
CAND_0042618,84.05
CAND_0005269,84.03
CAND_0076412,84.02
CAND_0080173,84.02
CAND_0064824,84.0
CAND_0006970,83.99
CAND_0044445,83.95
CAND_0070514,83.95
CAND_0056184,83.93
CAND_0017053,83.9
CAND_0043534,83.87
CAND_0045887,83.83
CAND_0080291,83.8
CAND_0004393,83.8
CAND_0074317,83.78
CAND_0011643,83.77
CAND_0018701,83.76
CAND_0024549,83.75
CAND_0028710,83.75
CAND_0010408,83.74
CAND_0057563,83.72
CAND_0049831,83.72
CAND_0004800,83.69
CAND_0085335,83.66
CAND_0074723,83.66
CAND_0016699,83.66
CAND_0061696,83.66
CAND_0013732,83.66
CAND_0052195,83.64
CAND_0026791,83.64
CAND_0087083,83.61
CAND_0013371,83.6
CAND_0073208,83.58
CAND_0023587,83.58
CAND_0071866,83.57
CAND_0080405,83.55
CAND_0052560,83.54
CAND_0073915,83.54
CAND_0084618,83.54
CAND_0033451,83.53
CAND_0062561,83.53
CAND_0051213,83.53
CAND_0040159,83.51
CAND_0098780,83.51
CAND_0039581,83.5
CAND_0056749,83.49
CAND_0054123,83.48
CAND_0079444,83.48
CAND_0052744,83.47
CAND_0003770,83.47
CAND_0017119,83.46
CAND_0009198,83.45
CAND_0088369,83.42
CAND_0075007,83.41
CAND_0095042,83.41
CAND_0011441,83.37
CAND_0021392,83.36
CAND_0056522,83.36
CAND_0008810,83.35
CAND_0033350,83.34
CAND_0008407,83.33
CAND_0033385,83.33
CAND_0015794,83.32
CAND_0049540,83.32
CAND_0062586,83.32
CAND_0025736,83.32
CAND_0074037,83.31
CAND_0019480,83.31
CAND_0014063,83.31
CAND_0099751,83.28
CAND_0062752,83.28
CAND_0041594,83.26
CAND_0051491,83.24
CAND_0030882,83.22
CAND_0050064,83.22
CAND_0003599,83.2
CAND_0090300,83.19
CAND_0087006,83.19
CAND_0001610,83.19
CAND_0007631,83.18
CAND_0007298,83.18
CAND_0061479,83.17
CAND_0044483,83.17
CAND_0087899,83.13
CAND_0074208,83.12
CAND_0080033,83.12
CAND_0020524,83.11
CAND_0077988,83.11
CAND_0084674,83.1
CAND_0046621,83.09
CAND_0081321,83.08
CAND_0040386,83.06
CAND_0002413,83.05
CAND_0083740,83.04
CAND_0019389,83.03
CAND_0079764,83.02
CAND_0009516,83.01
CAND_0024466,83.01
CAND_0089491,83.01
CAND_0096777,82.99
CAND_0008908,82.99
CAND_0061738,82.98
CAND_0076156,82.94
CAND_0073278,82.93
CAND_0011065,82.91
CAND_0034564,82.88
CAND_0032024,82.87
CAND_0015693,82.86
CAND_0027138,82.86
CAND_0043693,82.85
CAND_0018120,82.83
CAND_0068351,82.82
CAND_0056606,82.82
CAND_0059017,82.81
CAND_0044677,82.81
CAND_0009236,82.8
CAND_0080344,82.79
CAND_0074653,82.79
CAND_0049757,82.78
CAND_0025676,82.78
CAND_0096192,82.77
CAND_0000083,82.76
CAND_0032160,82.74
CAND_0033179,82.73
CAND_0024309,82.72
CAND_0051889,82.71
CAND_0092664,82.71
CAND_0032216,82.69
CAND_0009024,82.68
CAND_0099806,82.68
CAND_0090201,82.68
CAND_0088482,82.67
CAND_0051793,82.64
CAND_0016425,82.63
CAND_0033991,82.63
CAND_0067643,82.63
CAND_0036303,82.63
CAND_0000273,82.6
CAND_0046894,82.59
CAND_0055607,82.59
CAND_0027801,82.58
CAND_0008417,82.58
CAND_0093539,82.56
CAND_0096943,82.54
CAND_0018246,82.54
CAND_0091652,82.54
CAND_0096823,82.53
CAND_0010901,82.53
CAND_0080603,82.51
CAND_0026316,82.5
CAND_0032527,82.5
CAND_0078785,82.49
CAND_0026158,82.48
CAND_0073504,82.47
CAND_0047721,82.46
CAND_0062658,82.46
CAND_0000683,82.46
CAND_0012610,82.46
CAND_0023955,82.44
CAND_0074731,82.43
CAND_0054024,82.41
CAND_0043976,82.41
CAND_0034992,82.41
CAND_0074533,82.4
CAND_0017192,82.39
CAND_0013440,82.39
CAND_0012256,82.39
CAND_0094400,82.39
CAND_0074657,82.38
CAND_0091748,82.38
CAND_0062146,82.38
CAND_0012957,82.37
CAND_0073678,82.37
CAND_0082913,82.34
CAND_0061550,82.33
CAND_0021885,82.3
CAND_0092696,82.3
CAND_0090472,82.29
CAND_0000847,82.28
CAND_0051466,82.27
CAND_0006850,82.26
CAND_0052827,82.24
CAND_0011141,82.23
CAND_0067201,82.23
CAND_0013523,82.23
CAND_0060844,82.22
CAND_0094891,82.21
CAND_0017178,82.21
CAND_0087630,82.18
CAND_0096391,82.16
CAND_0060835,82.16
CAND_0044248,82.15
CAND_0040973,82.15
CAND_0037177,82.14
CAND_0003408,82.14
CAND_0043228,82.14
CAND_0034798,82.11
CAND_0020107,82.1
CAND_0007351,82.1
CAND_0014683,82.1
CAND_0096103,82.1
CAND_0036476,82.08
CAND_0098226,82.05
CAND_0085826,82.05
CAND_0070585,82.03
CAND_0021464,82.02
CAND_0090361,82.02
CAND_0003100,82.01
CAND_0041731,82.0
CAND_0032128,82.0
CAND_0014625,82.0
CAND_0010269,81.99
CAND_0030364,81.99
CAND_0029671,81.98
CAND_0095619,81.97
CAND_0089498,81.97
CAND_0035315,81.95
CAND_0014909,81.95
CAND_0079038,81.92
CAND_0017552,81.92
CAND_0050454,81.91
CAND_0004008,81.91
CAND_0073265,81.9
CAND_0035313,81.89
CAND_0066035,81.89
CAND_0072500,81.89
CAND_0002610,81.88
CAND_0016782,81.86
CAND_0062779,81.83
CAND_0060162,81.83
CAND_0088240,81.82
CAND_0065028,81.81
CAND_0012798,81.81
CAND_0065083,81.81
CAND_0066309,81.81
CAND_0090093,81.78
CAND_0034400,81.76
CAND_0043091,81.74
CAND_0073683,81.74
CAND_0007052,81.72
CAND_0059678,81.71
CAND_0085901,81.7
CAND_0019783,81.7
CAND_0024407,81.69
CAND_0066909,81.68
CAND_0070509,81.67
CAND_0022906,81.67
CAND_0081602,81.67
CAND_0001874,81.66
CAND_0052141,81.65
CAND_0031936,81.63
CAND_0058607,81.63
CAND_0002793,81.63
CAND_0080833,81.61
CAND_0049246,81.6
CAND_0030821,81.6
CAND_0079389,81.6
CAND_0082599,81.59
CAND_0062413,81.56
CAND_0093595,81.56
CAND_0051772,81.54
CAND_0045899,81.54
CAND_0081203,81.54
CAND_0080465,81.52
CAND_0005509,81.52
CAND_0067090,81.52
CAND_0043637,81.51
CAND_0054318,81.51
CAND_0015823,81.51
CAND_0039653,81.51
CAND_0099401,81.51
CAND_0042153,81.5
CAND_0007965,81.49
CAND_0080051,81.49
CAND_0051486,81.45
CAND_0077798,81.44
CAND_0042642,81.44
CAND_0051499,81.44
CAND_0021472,81.43
CAND_0056327,81.42
CAND_0012837,81.42
CAND_0097896,81.41
CAND_0085033,81.41
CAND_0013814,81.4
CAND_0052370,81.38
CAND_0061735,81.36
CAND_0035945,81.36
CAND_0022296,81.35
CAND_0050666,81.35
CAND_0057964,81.34
CAND_0070485,81.33
CAND_0063306,81.33
CAND_0040449,81.33
CAND_0092278,81.32
CAND_0073940,81.3
CAND_0052257,81.28
CAND_0097733,81.26
CAND_0048943,81.25
CAND_0078075,81.23
CAND_0007471,81.23
CAND_0098347,81.23
CAND_0008981,81.22
CAND_0093883,81.21
CAND_0058124,81.21
CAND_0042258,81.2
CAND_0012343,81.2
CAND_0081801,81.19
CAND_0014067,81.19
CAND_0001347,81.18
CAND_0029119,81.17
CAND_0083689,81.17
CAND_0050943,81.17
CAND_0082291,81.17
CAND_0035195,81.16
CAND_0078165,81.14
CAND_0029971,81.13
CAND_0033911,81.12
CAND_0049615,81.11
CAND_0094767,81.11
CAND_0071228,81.11
CAND_0039983,81.1
CAND_0079941,81.1
CAND_0067554,81.1
CAND_0002344,81.09
CAND_0099347,81.09
CAND_0074921,81.08
CAND_0040126,81.07
CAND_0099269,81.06
CAND_0052782,81.06
CAND_0015528,81.04
CAND_0017495,81.04
CAND_0057331,81.03
CAND_0056713,81.03
CAND_0071617,81.02
CAND_0080609,81.02
CAND_0029731,80.99
CAND_0021216,80.98
CAND_0006479,80.98
CAND_0031757,80.98
CAND_0086151,80.97
CAND_0091534,80.97
CAND_0085263,80.97
CAND_0081383,80.95
CAND_0066649,80.95
CAND_0051200,80.95
CAND_0040724,80.95
CAND_0088067,80.95
CAND_0022801,80.94
CAND_0095031,80.93
CAND_0060886,80.91
CAND_0020468,80.91
CAND_0034671,80.9
CAND_0001544,80.88
CAND_0067985,80.87
CAND_0093211,80.87
CAND_0006557,80.87
CAND_0027656,80.86
CAND_0098624,80.86
CAND_0038463,80.85
CAND_0017918,80.84
CAND_0094592,80.84
CAND_0029426,80.83
CAND_0023934,80.83
CAND_0047998,80.8
CAND_0043384,80.79
CAND_0016473,80.79
CAND_0064921,80.78
CAND_0004320,80.77
CAND_0020494,80.76
CAND_0052082,80.75
CAND_0019201,80.75
CAND_0018354,80.75
CAND_0032919,80.74
CAND_0031043,80.73
CAND_0072232,80.73
CAND_0091890,80.73
CAND_0038681,80.72
CAND_0069232,80.71
CAND_0089533,80.71
CAND_0044262,80.71
CAND_0037424,80.7
CAND_0073455,80.68
CAND_0036655,80.67
CAND_0039550,80.67
CAND_0085146,80.66
CAND_0058152,80.66
CAND_0044773,80.65
CAND_0036871,80.62
CAND_0065514,80.62
CAND_0018754,80.6
CAND_0008486,80.59
CAND_0018914,80.58
CAND_0045183,80.56
CAND_0045250,80.54
CAND_0045341,80.54
CAND_0032733,80.54
CAND_0049104,80.53
CAND_0060972,80.52
CAND_0013085,80.51
CAND_0078492,80.51
CAND_0056912,80.5
CAND_0081328,80.49
CAND_0019968,80.48
CAND_0075439,80.47
CAND_0016440,80.47
CAND_0005883,80.46
CAND_0058340,80.45
CAND_0088163,80.45
CAND_0051219,80.44
CAND_0034605,80.44
CAND_0091889,80.43
CAND_0026162,80.42
CAND_0035922,80.42
CAND_0001088,80.41
CAND_0098176,80.4
CAND_0020845,80.4
CAND_0081948,80.39
CAND_0089895,80.37
CAND_0043224,80.36
CAND_0078711,80.35
CAND_0085754,80.34
CAND_0073448,80.33
CAND_0004534,80.31
CAND_0053392,80.29
CAND_0047454,80.29
CAND_0065176,80.29
CAND_0030827,80.28
CAND_0047280,80.28
CAND_0089726,80.27
CAND_0004047,80.27
CAND_0042571,80.27
CAND_0003395,80.26
CAND_0094943,80.25
CAND_0052387,80.25
CAND_0076163,80.24
CAND_0004402,80.2
CAND_0051201,80.2
CAND_0016659,80.19
CAND_0062630,80.16
CAND_0025293,80.16
CAND_0012133,80.16
CAND_0031780,80.16
CAND_0047385,80.16
CAND_0031540,80.14
CAND_0004330,80.13
CAND_0055187,80.12
CAND_0099392,80.12
CAND_0067374,80.12
CAND_0071936,80.1
CAND_0045027,80.1
CAND_0043829,80.1
CAND_0095213,80.1
CAND_0011327,80.1
CAND_0061649,80.09
CAND_0061969,80.09
CAND_0039546,80.09
CAND_0056532,80.09
CAND_0026007,80.07
CAND_0052585,80.06
CAND_0003756,80.04
CAND_0050395,80.04
CAND_0064269,80.04
CAND_0057422,80.04
CAND_0021014,80.03
CAND_0064215,80.03
CAND_0047903,80.03
CAND_0075731,80.02
CAND_0048936,80.02
CAND_0022721,80.01
CAND_0003506,80.01
CAND_0058082,80.01
CAND_0060904,80.01
CAND_0072455,80.01
CAND_0023458,79.99
CAND_0005460,79.99
CAND_0046526,79.99
CAND_0012051,79.98
CAND_0052065,79.98
CAND_0026738,79.97
CAND_0003625,79.97
CAND_0091358,79.96
CAND_0015320,79.96
CAND_0069300,79.96
CAND_0040200,79.95
CAND_0008297,79.95
CAND_0098621,79.94
CAND_0038551,79.94
CAND_0000739,79.94
CAND_0040019,79.93
CAND_0046924,79.93
CAND_0064947,79.93
CAND_0013469,79.91
CAND_0095868,79.9
CAND_0091545,79.89
CAND_0099738,79.89
CAND_0098079,79.88
CAND_0069144,79.88
CAND_0097681,79.87
CAND_0094019,79.87
CAND_0040092,79.86
CAND_0020930,79.85
CAND_0013613,79.84
CAND_0073874,79.84
CAND_0026480,79.83
CAND_0079153,79.83
CAND_0067603,79.82
CAND_0058766,79.82
CAND_0060823,79.81
CAND_0091254,79.81
CAND_0082159,79.81
CAND_0012067,79.8
CAND_0045313,79.79
CAND_0015493,79.79
CAND_0071408,79.79
CAND_0006521,79.78
CAND_0023088,79.78
CAND_0065878,79.78
CAND_0063575,79.77
CAND_0080104,79.75
CAND_0061156,79.73
CAND_0017670,79.73
CAND_0080187,79.72
CAND_0091229,79.72
CAND_0071920,79.71
CAND_0057494,79.71
CAND_0094092,79.7
CAND_0035987,79.69
CAND_0056236,79.69
CAND_0002526,79.68
CAND_0020484,79.68
CAND_0078669,79.68
CAND_0072362,79.68
CAND_0049340,79.68
CAND_0020931,79.67
CAND_0008285,79.67
CAND_0018851,79.67
CAND_0049384,79.67
CAND_0031796,79.67
CAND_0074237,79.67
CAND_0071241,79.66
CAND_0069233,79.66
CAND_0082822,79.66
CAND_0016433,79.66
CAND_0069643,79.65
CAND_0041144,79.63
CAND_0073738,79.62
CAND_0018652,79.62
CAND_0008918,79.62
CAND_0058692,79.6
CAND_0067839,79.6
CAND_0036520,79.59
CAND_0083754,79.58
CAND_0067302,79.57
CAND_0061391,79.57
CAND_0052367,79.56
CAND_0049209,79.56
CAND_0048469,79.55
CAND_0006334,79.55
CAND_0005632,79.55
CAND_0056097,79.55
CAND_0003609,79.54
CAND_0085030,79.54
CAND_0095184,79.53
CAND_0062266,79.51
CAND_0021100,79.51
CAND_0039504,79.51
CAND_0098930,79.5
CAND_0026726,79.49
CAND_0088946,79.48
CAND_0059224,79.48
CAND_0065684,79.48
CAND_0013778,79.47
CAND_0075715,79.47
CAND_0013634,79.46
CAND_0005644,79.46
CAND_0056130,79.45
CAND_0033749,79.45
CAND_0020049,79.45
CAND_0014320,79.44
CAND_0071009,79.43
CAND_0075268,79.43
CAND_0070152,79.43
CAND_0006271,79.42
CAND_0077643,79.42
CAND_0008018,79.42
CAND_0000201,79.41
CAND_0057673,79.4
CAND_0083004,79.38
CAND_0056692,79.37
CAND_0091413,79.37
CAND_0087578,79.36
CAND_0046459,79.36
CAND_0005205,79.35
CAND_0076590,79.34
CAND_0017443,79.33
CAND_0078318,79.33
CAND_0034222,79.33
CAND_0092498,79.33
CAND_0036778,79.32
CAND_0075469,79.3
CAND_0036484,79.29
CAND_0016610,79.28
CAND_0015372,79.28
CAND_0063737,79.28
CAND_0032532,79.28
CAND_0016743,79.27
CAND_0086460,79.26
CAND_0015065,79.25
CAND_0004620,79.24
CAND_0006757,79.24
CAND_0087082,79.24
CAND_0079447,79.23
CAND_0035950,79.23
CAND_0042284,79.21
CAND_0061411,79.21
CAND_0024289,79.19
CAND_0040433,79.19
CAND_0006538,79.18
CAND_0068138,79.18
CAND_0059672,79.16
CAND_0040798,79.16
CAND_0004788,79.14
CAND_0054859,79.13
CAND_0083432,79.12
CAND_0021349,79.12
CAND_0035301,79.12
CAND_0026433,79.12
CAND_0042859,79.11
CAND_0024450,79.11
CAND_0062981,79.11
CAND_0088315,79.1
CAND_0083405,79.09
CAND_0068264,79.08
CAND_0030430,79.08
CAND_0013090,79.07
CAND_0012918,79.07
CAND_0005172,79.05
CAND_0057209,79.04
CAND_0065286,79.04
